fetch_date,rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
2025-11-10,68,falcon-finance,usdf,Falcon USD,0.998033,2108021932,8249349.0,1.003,0.995667,0.07222,2025-11-10T20:23:10.303Z
2025-11-10,69,pi-network,pi,Pi Network,0.229928,1911911463,32365163.0,0.235573,0.225576,0.85499,2025-11-10T20:22:58.926Z
2025-11-10,70,polygon-ecosystem-token,pol,POL (ex-MATIC),0.181356,1906366468,72879388.0,0.183973,0.177171,0.21372,2025-11-10T20:23:10.691Z
2025-11-10,71,official-trump,trump,Official Trump,9.4,1894892121,1744980308.0,9.5,7.67,21.01801,2025-11-10T20:23:10.739Z
2025-11-10,72,worldcoin-wld,wld,Worldcoin,0.82729,1868317804,169507793.0,0.845108,0.811183,0.93857,2025-11-10T20:22:59.308Z
2025-11-10,73,filecoin,fil,Filecoin,2.6,1834734668,645947522.0,2.92,2.5,-10.90022,2025-11-10T20:23:10.705Z
2025-11-10,74,usdtb,usdtb,USDtb,0.998674,1832628852,357865.0,1.001,0.997748,-0.05135,2025-11-10T20:23:10.510Z
2025-11-10,75,kucoin-shares,kcs,KuCoin,13.12,1702842257,7140459.0,13.59,13.1,-1.81115,2025-11-10T20:23:10.660Z
2025-11-10,76,htx-dao,htx,HTX DAO,1.81e-06,1680616887,18908184.0,1.81e-06,1.79e-06,0.64336,2025-11-10T20:23:10.486Z
2025-11-10,77,arbitrum,arb,Arbitrum,0.303516,1666476301,172274495.0,0.304666,0.293143,0.64955,2025-11-10T20:23:10.973Z
2025-11-10,78,algorand,algo,Algorand,0.190438,1665363612,97080461.0,0.191236,0.177194,5.17227,2025-11-10T20:23:10.752Z
2025-11-10,79,rocket-pool-eth,reth,Rocket Pool ETH,4091.68,1560458198,6614551.0,4173.24,4029.85,-0.06536,2025-11-10T20:23:10.533Z
2025-11-10,80,pump-fun,pump,Pump.fun,0.00446527,1545713127,396251756.0,0.00461751,0.00409649,6.67098,2025-11-10T20:23:10.844Z
2025-11-10,81,hash-2,hash,Provenance Blockchain,0.03010238,1531274328,164204.0,0.03298505,0.02864821,3.57285,2025-11-10T20:23:10.634Z
2025-11-10,82,binance-staked-sol,bnsol,Binance Staked SOL,180.92,1521415546,4371808.0,183.97,177.04,1.08462,2025-11-10T20:23:10.454Z
2025-11-10,83,vechain,vet,VeChain,0.01740104,1489351155,39920173.0,0.01783757,0.01700735,0.35952,2025-11-10T20:23:10.886Z
2025-11-10,84,cosmos,atom,Cosmos Hub,3.08,1464908425,77987016.0,3.1,2.96,3.36645,2025-11-10T20:22:59.355Z
2025-11-10,85,kinetic-staked-hype,khype,Kinetiq Staked HYPE,42.38,1432552193,19332530.0,43.17,41.07,-0.18775,2025-11-10T20:23:10.558Z
2025-11-10,86,kaspa,kas,Kaspa,0.053332,1424617062,53840174.0,0.05427,0.051193,2.8577,2025-11-10T20:23:10.827Z
2025-11-10,87,gatechain-token,gt,Gate,12.08,1411759107,6610706.0,12.46,11.98,-1.81165,2025-11-10T20:23:10.397Z
2025-11-10,88,pax-gold,paxg,PAX Gold,4099.01,1366681608,160895152.0,4106.18,3993.98,2.57536,2025-11-10T20:23:10.681Z
2025-11-10,89,stakewise-v3-oseth,oseth,StakeWise Staked ETH,3721.8,1330086317,341375.0,3802.2,3657.17,-0.14581,2025-11-10T20:23:10.500Z
2025-11-10,90,render-token,render,Render,2.57,1320830453,177501221.0,2.71,2.39,4.90699,2025-11-10T20:22:59.341Z
2025-11-10,91,bfusd,bfusd,BFUSD,0.999557,1319483331,7322079.0,0.999946,0.999434,-0.01048,2025-11-10T20:23:10.768Z
2025-11-10,92,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3768.74,1296992212,345485.0,3851.55,3709.89,-0.15754,2025-11-10T20:23:10.431Z
2025-11-10,93,binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),1.0,1288951436,564982716.0,1.001,0.997776,0.02394,2025-11-10T20:23:00.005Z
2025-11-10,94,wbnb,wbnb,Wrapped BNB,990.65,1285769499,791560280.0,1017.35,976.88,-1.09643,2025-11-10T20:22:59.899Z
2025-11-10,95,flare-networks,flr,Flare,0.01639873,1283883749,12112350.0,0.01663339,0.01586516,2.7035,2025-11-10T20:23:10.914Z
2025-11-10,96,story-2,ip,Story,3.93,1283674348,42159907.0,4.01,3.63,1.69607,2025-11-10T20:23:10.662Z
2025-11-10,97,sky,sky,Sky,0.055587,1270803316,8321516.0,0.056102,0.054096,1.84529,2025-11-10T20:23:10.549Z
2025-11-10,98,syrupusdt,syrupusdt,syrupUSDT,1.1,1269840863,772438.0,1.1,1.1,-0.11729,2025-11-10T20:22:59.003Z
2025-11-10,99,ignition-fbtc,fbtc,Function FBTC,106141.0,1266842969,217610.0,109186.0,103428.0,1.1121,2025-11-10T20:23:10.445Z
2025-11-10,100,lombard-staked-btc,lbtc,Lombard Staked BTC,105994.0,1241776706,7252793.0,106956.0,104199.0,1.25015,2025-11-10T20:22:59.630Z
