ts,cmc_total_mcap_usd,cmc_total_vol_24h_usd,cmc_btc_mcap_usd,cmc_eth_mcap_usd,cmc_btc_dominance,cmc_eth_dominance,cmc_total_mcap_usd_ret1,cmc_total_mcap_usd_ret7,cmc_total_mcap_usd_ret30,cmc_btc_mcap_usd_ret1,cmc_btc_mcap_usd_ret7,cmc_btc_mcap_usd_ret30,cmc_eth_mcap_usd_ret1,cmc_eth_mcap_usd_ret7,cmc_eth_mcap_usd_ret30,mc_z_30,btc_dom_z_30,mcap_vol_ratio_total,mcap_vol_ratio_btc,mcap_vol_ratio_eth
2019-05-24,249167142772.46448,80745791601.5627,,,,,0.0166942202133552,0.07181840696153706,0.34020011281039403,,,,,,,1.296649117655578,,3.0858220327069312,,
2019-05-25,251183426668.4024,68127450471.31727,,,,,0.00805952839155821,0.09360816453126199,0.39793754680211607,,,,,,,1.2695433786382,,3.6869635503849447,,
2019-05-26,267850779418.01654,80859473429.40302,,,,,0.06424657644863083,0.04798787432485282,0.4488665805923592,,,,,,,1.6442012651183158,,3.312546669647464,,
2019-05-27,275026162321.4963,96295390953.06232,,,,,0.026436196628393263,0.10357967064882606,0.47368576526199674,,,,,,,1.7115206107631822,,2.856067768140154,,
2019-05-28,274145932560.1487,83699255632.98059,,,,,-0.0032056636647851753,0.09278105893858572,0.4715570217455694,,,,,,,1.5649867312660197,,3.2753688248109714,,
2019-05-29,274380632659.34308,80503266821.79861,,,,,0.000855747482068149,0.13400508517847737,0.48718367320582434,,,,,,,1.4716048097299805,,3.408316749017277,,
2019-05-30,262439724633.5869,104158112262.84018,,,,,-0.04449487745188132,0.0685917280473392,0.4055210131100604,,,,,,,1.0577436339817203,,2.519628274092827,,
2019-05-31,272678502470.98645,86726378149.70778,,,,,0.03827201936647022,0.09016952720045403,0.4399929245631228,,,,,,,1.2798616547474961,,3.144124178693207,,
2019-06-01,270923603357.89566,79046995052.69421,,,,,-0.006456579879674778,0.07565341892922108,0.4202490904236743,,,,,,,1.158112462539529,,3.427373844853848,,
2019-06-02,276825453252.9156,69201829180.51985,,,,,0.021550300201172604,0.03295714268176287,0.4016029447620479,,,,,,,1.2577512733093932,,4.00026208166823,,
2019-06-03,260463758450.26166,77764999353.67906,,,,,-0.06092344642606781,-0.05440250037269826,0.3434073534088874,,,,,,,0.7018911614734064,,3.349370032984371,,
2019-06-04,245870382249.7145,85483220598.07611,,,,,-0.057659232836186666,-0.10885606954409974,0.29226833178808725,,,,,,,0.17862397434548033,,2.8762414486668053,,
2019-06-05,249941176734.98788,73406404176.75674,,,,,0.016421101469339765,-0.09329071555682796,0.30854233660726443,,,,,,,0.25923433888003233,,3.4048960651055666,,
2019-06-06,251343830967.69418,66406361788.68051,,,,,0.005596249127125758,-0.04319958897782101,0.31144014607140413,,,,,,,0.24966851871088352,,3.7849360241647467,,
2019-06-07,257660454178.75156,66541708241.495155,,,,,0.02482080282396,-0.056650805520331166,0.3204225980351043,,,,,,,0.4503458056990702,,3.872164706737653,,
2019-06-08,254212394499.16766,57984868728.72539,,,,,-0.013472532652825083,-0.06366675829348149,0.2978207647228296,,,,,,,0.23215920001848808,,4.384116064631741,,
2019-06-09,244569174895.277,59021252202.73607,,,,,-0.03867192360813462,-0.12388898210278879,0.23213297146800524,,,,,,,-0.39610930558386026,,4.143747646274767,,
2019-06-10,255805883691.80978,66061629141.39845,,,,,0.04492069721442436,-0.01804483846229654,0.1631149644444709,,,,,,,0.20657111836300973,,3.872230930670546,,
2019-06-11,254109762870.64822,59206344548.1706,,,,,-0.006652579060866379,0.0329618153130239,0.19219818526491636,,,,,,,0.004806597097626294,,4.291934670344378,,
2019-06-12,262028427595.60165,66159713525.78875,,,,,0.030686689188312733,0.047227403031996705,0.1343672860303821,,,,,,,0.5440794469421888,,3.9605435639237494,,
2019-06-13,263380164431.49405,65084409259.21461,,,,,0.005145480446196944,0.04677663435106801,0.08996656034139203,,,,,,,0.6014825597947836,,4.046747407393958,,
2019-06-14,272930475754.21802,66690951014.75405,,,,,0.035618614590064775,0.05757444611717285,0.06547450100342357,,,,,,,1.2834878245724968,,4.092466393136867,,
